Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
Asbestos Litigation,Honeywell International Inc.,Date of 10-K Filing,2/16/2007,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Gager v. Dell Financial Services (Violation of the Telephone Consumer Protection Act),"Dell, Inc.",Date of Complaint,12/8/2011,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
National Women's Law Center v. Battelle Memorial Institute (Sex Discrimination),Battelle Memorial Institute,Date of Complaint,6/4/2013,Consumer Affairs,Settlement,Administrative,Non-Governmental,None,0
"August 2007 Hilla, Iraq Shooting",Blackwater USA,Date of Filing,6/10/2009,Human Rights,Settlement,Civil,Non-Governmental,State Dept.,Undisclosed/Unknown
Termination of an Agreement,"Verizon Communications, Inc.",Date of Financial Statement - approximate,1/1/2004,Poor Contract Performance,Settlement,Civil,Non-Governmental,Non-Governmental,175000000
Failing to Conduct Crane Dismantling and Removal in a Safe and Workmanlike Manner,BP P.L.C.,Date of Penalty,11/24/2003,Labor,Fine,Administrative,Interior,None,25000
"Engineering Solutions & Products v. CACI (Breach of Contract, Tortious Interference)","CACI International, Inc.",Date of Complaint,7/23/2013,Poor Contract Performance,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
Back v. Halliburton Energy Services (Chemical Contamination),Halliburton,Date of Complaint - approximate,5/1/2007,Health,Pending,Civil,Non-Governmental,None,0
Violations of the Civil Rights Act,General Motors Corp.,Date of Settlement,9/26/2001,Labor,Settlement,Civil,EEOC,None,1250000
SEC v. Smeraski (HBOC Securities Fraud),McKesson,Date of Final Judgment,8/7/2007,Securities,Judgment Against Defendant,Civil,SEC,None,50000
Overbilling the Federal Government for Telephone Services,AT&T Inc.,Date of Announcement,6/27/2006,Government Contract Fraud,Settlement,Civil,Justice,GSA,2946000
Carnival v. BP et al. (April 2010 Gulf of Mexico Oil Spill),Halliburton,Date of Complaint,4/20/2011,Environment,Pending,Civil,Non-Governmental,None,0
Illegal Distribution of Prescription Drugs,Boeing Company,Date of Arrests,9/29/2011,Other,Pending,Criminal,Justice,Defense - General,0
Belgian Retail Price Fixing,GlaxoSmithKline,Date of Fine Announcement,6/22/2015,Antitrust,Fine,Administrative,International,None,619857
Allen et al. v. SpaceX (Racial Discrimination),SpaceX,Date of Complaint,8/18/2014,Labor,Pending,Civil,Non-Governmental,None,0
Foreign Corrupt Practices Act Criminal Investigation,Daimler AG,Date of Settlement Announcement,4/1/2010,Ethics,Deferred Prosecution Agreement,Criminal,Justice,None,93600000
Ft. Knox Labor Misclassification,ManTech International Corp.,Date of Settlement Announcement,10/17/2006,Labor,Settlement,Administrative,Labor,Defense - Army,131165
China Bribery and Fraud,GlaxoSmithKline,Date of Formal Accusation,5/13/2014,Ethics,Found Guilty,Criminal,International,None,487000000
Construction Mismanagement on the Boston Central Artery/ Tunnel Project,Bechtel Corporation,Date of Settlement,1/23/2008,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,357100000
York v. DynCorp (Breach of Contract),DynCorp International Inc.,Date of Judgment,4/15/2012,Labor,Judgment Against Defendant,Civil,Non-Governmental,Non-Governmental,5081622
Castelluccio v. IBM (Age Discrimination),IBM Corporation,Date of Final Judgment,1/28/2014,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,3705271
Excessive Harmful Emissions (Virginia),Honeywell International Inc.,Date of Consent Order,8/26/2002,Environment,Administrative Agreement,Civil,State/Local,None,69705
Waste Handling Violations at Hanford T-Plant,"CH2M Hill Companies, Ltd.",Date of Fine,8/8/2016,Environment,Settlement,Administrative,State/Local,Energy,0
Employee Compensation Antitrust Litigation,ChevronTexaco Corporation,Date of Filing,11/4/2004,Antitrust,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Defective Seat Belt,Honeywell International Inc.,Date of Verdict,2/15/2007,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,9750000
Defective Bulletproof Vest Material,Honeywell International Inc.,Date of Complaint,6/5/2008,Government Contract Fraud,Pending,Civil,Multiple Agencies,Multiple Agencies,0
U.S. v. Denault (CityTime Contract Fraud),SAIC,Date of Announcement of Charges,5/27/2011,Government Contract Fraud,Found Guilty,Criminal,Multiple Agencies,State/Local,12010522
"Berman, et al. v. BearingPoint (Securities Fraud)",BearingPoint Inc.,Date of Filing,8/20/2003,Securities,Settlement,Civil,Non-Governmental,None,1700000
Air Quality Violations at Benicia Refinery in 2012,Valero Energy Corp.,Date of Settlement Announcement,10/29/2015,Environment,Settlement,Administrative,State/Local,None,196000
Illegal Late and Reconnect Fees,"Verizon Communications, Inc.",Date of First Amended Complaint,8/28/2007,Consumer Affairs,Settlement,Civil,Non-Governmental,None,10000000
Anderson v. Exxon Mobil (Asbestos Exposure),Exxon Mobil,Date of Verdict - approx.,5/21/2008,Health,Judgment Against Defendant,Civil,Non-Governmental,None,9340068
"Blakeslee v. Shaw Infrastructure (Retaliation, Age Discrimination)",Shaw Group,Date of Original Complaint,10/26/2009,Labor,Judgment Against Defendant,Civil,Non-Governmental,Defense - Army,3432032
Longs v. Wyeth (Redux Wrongful Death),Wyeth,Date of Filing,10/2/2003,Health,Pending,Civil,Non-Governmental,None,0
Settlement of Hanford Waste Management Violations,"CH2M Hill Companies, Ltd.",Date of Settlement,1/24/2014,Environment,Settlement,Administrative,State/Local,Energy,0
Atlanta Construction Site Accident,Walsh Group,Date of Announcement,11/18/2002,Labor,Fine,Administrative,Labor - OSHA,None,76300
"Beaumont, TX Refinery Explosion Lawsuits",Exxon Mobil,Date of Complaint,4/25/2013,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Overcharging the Department of Veterans Affairs,Sanofi-Aventis,Date of Settlement Announcement,4/3/2017,Defective Pricing,Settlement,Civil,Justice,Veterans Affairs,19868194
Oncology Drug Overfill False Claims,McKesson,Date of Second Amended Complaint,4/3/2018,Health,Pending,Civil,Multiple Agencies,None,0
Radioactive and Toxic Contamination,Boeing Company,Date of Settlement Notification,1/11/2006,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Nominal Pricing Fraud,"Merck & Co., Inc.",Date of Announcement,2/7/2008,Health,Settlement,Civil,Multiple Agencies,None,650000000
McGinty v. DRS Technologies (Age Discrimination),"DRS Technologies, Inc.",Date of Filing,6/24/2010,Labor,Pending,Civil,Non-Governmental,None,0
Intelligence Contract Labor Mischarging,Booz Allen Hamilton,Date of ICIG Report,3/31/2015,Government Contract Fraud,Investigative Finding,N/A,ICIG,ODNI,10706
Connecticut Lobbying Violation,"Pfizer, Inc.",Date of Consent Order,6/9/2014,Ethics,Fine,Administrative,State/Local,None,5000
Kentucky Kytril and Zofran Average Wholesale Price Lawsuit,GlaxoSmithKline,Date of Settlement Announcement,8/30/2010,Defective Pricing,Settlement,Civil,State/Local,None,3750000
Nigeria Trademark Infringement,GlaxoSmithKline,Date of Judgment,6/27/2011,Intellectual Property,Judgment Against Defendant,Civil,Non-Governmental,None,7873706
EEOC v. Johns Hopkins Home Care Group (Disability Discrimination and Retaliation),"Johns Hopkins Health System Corporation, Johns Hopkins University",Date of Complaint,7/12/2011,Labor,Pending,Civil,EEOC,None,0
Petrochemical Emissions at Deer Park Facility,Royal Dutch Shell PLC,Date of Settlement Announcement,9/6/2011,Environment,Settlement,Administrative,State/Local,None,500000
Illegal Disposal of Hazardous Waste (Alaska),BP P.L.C.,Date of Guilty Plea,9/23/1999,Environment,Pleaded Guilty,Criminal,EPA,None,22000000
Inadequate Number of Anesthesiologists in Texas,Humana,Date of Consent Orders,10/8/2018,Consumer Affairs,Fine,Administrative,State/Local,None,700000
"Tallevast, Florida Groundwater Toxic Contamination",Lockheed Martin,Date of Filing,9/1/2005,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Violating Nuclear Safety Requirements (Idaho National Environmental and Engineering Lab),Washington Group International,Date of Proposed Civil Penalty,10/31/2003,Environment,Fine,Civil,Energy,Energy,55000
Durham et al. v. DynCorp (2007 Black Hawk Crash),DynCorp International Inc.,Date of Complaint,10/5/2009,Poor Contract Performance,Settlement,Civil,Non-Governmental,Defense - Army,Undisclosed/Unknown
Improper Billing on the Chinook Helicopter Program,Boeing Company,Date of Settlement Announcement,1/20/2012,Government Contract Fraud,Settlement,Civil,Defense - Army,Defense - Army,4392780
U.S. ex rel. Wright v. Chevron (Underpayment of Natural Gas Royalties),Exxon Mobil,Date of Settlement Announcement,4/5/2010,Government Contract Fraud,Settlement,Civil,Interior,Interior,32200000
Manipulation of Western Electricity Market (California Settlement),BP P.L.C.,Date of Settlement,7/6/2007,Antitrust,Settlement,Civil,State/Local,None,18000000
Contracting Suspension - Anham FZCO and Anham USA,Anham FZCO,Date of Suspension,12/27/2018,Government Contract Fraud,Suspend/Debar - Company,Administrative,Defense - General,Defense - General,0
Corrupt Payments by Kazakhstan and Middle East Subsidiaries,Sanofi-Aventis,Date of Order,9/4/2018,Ethics,Settlement,Administrative,SEC,None,25206145
Worker Safety and Health Violations at INL,"Battelle Energy Alliance, LLC",Date of PNOV,3/20/2008,Labor,Restitution,Administrative,Energy,Energy,250000
EPA Suspension,IBM Corporation,Date of Announcement,3/27/2008,Ethics,Suspend/Debar - Company,Administrative,EPA,EPA,0
Lewis v. CH2M Hill Hanford Group (Whistleblower Reprisal),"CH2M Hill Companies, Ltd.",Date of Settlement,12/17/2003,Labor,Settlement,Civil,Labor,Energy,Undisclosed/Unknown
"Cox v. Brookhaven Science Associates LLC (Sexual Harassment, Employment Discrimination)","Brookhaven Science Associates, LLC",Date of Complaint,10/30/2002,Labor,Settlement,Civil,Non-Governmental,Energy,Undisclosed/Unknown
Graves v. Humana (Medicare Overbilling),Humana,Date of Amended Complaint,5/14/2014,Cost/Labor Mischarge,Settlement,Civil,Non-Governmental,Health and Human Services,3000000
Pay Discrimination Against Women at Louisville Headquarters,Humana,Date of Settlement Announcement,3/19/2018,Labor,Restitution,N/A,Labor,None,2500000
Ruckdeschel v. Falcon Drilling Company (Wrongful Death),Halliburton,Date of Incident,10/19/2005,Labor,Settlement,Civil,Non-Governmental,None,825000
Emergency Planning Violations (Texas City Refinery),BP P.L.C.,Date of Announcement,3/9/2009,Environment,Settlement,Civil,EPA,None,785662
Fisherman's Wharf Pollution,Exxon Mobil,Date of Complaint,6/19/2008,Environment,Pending,Civil,State/Local,None,0
"""Gardening Club"" Air Freight Cartel Investigation","Agility, United Parcel Service, Inc.",Date of Fine Announcement,3/28/2012,Antitrust,Fine,Administrative,International,None,13014123
ENHANCE Securities Litigation,"Merck & Co., Inc.",Date of Settlement,6/3/2013,Securities,Settlement,Civil,Non-Governmental,None,473000000
Failure to Request FDA Approval,AmerisourceBergen,Date of Violation Notification,10/11/2002,Health,Administrative Agreement,Administrative,Health and Human Services,None,0
Breaches of EU Emissions Trading Scheme in Scotland,Exxon Mobil,Date of Fine Announcement,2/14/2012,Environment,Fine,N/A,International,None,4369059
Bagley v. TRW Inc. (Cost Mischarges),Northrop Grumman,Date of Settlement,6/9/2003,Cost/Labor Mischarge,Settlement,Civil,Multiple Agencies,Multiple Agencies,111200000
Termination of Canadian Diabetes Registry Contract,CGI Group Inc.,Date of Media Accounts,9/18/2012,Poor Contract Performance,Investigative Finding,N/A,International,International,0
World Bank Debarment of Australian Subsidiary,KBR,Date of Announcement,12/13/2011,Non-governmental Contract Fraud,Suspend/Debar - Company,Administrative,International,International,0
Taiwan Online Pricing Glitch,"Dell, Inc.",Date of Media Accounts,7/30/2009,Consumer Affairs,Fine,Undisclosed/unknown,International,None,30000
Violations of Nondestructive Assay Equipment Standards,Fluor Corporation,Date of Preliminary Notice of Violation,8/12/2002,Labor,Fine,Administrative,Energy,Energy,137500
Foreign Corrupt Practices Act Deferred Prosecution Agreement,"Pfizer, Inc.",Date of DPA Announcement,8/7/2012,Ethics,Deferred Prosecution Agreement,Criminal,Justice,None,15000000
Medicare Marketing Practices,Humana,date of news coverage,3/8/2007,Health,Pending,Criminal,Health and Human Services,Health and Human Services,0
Department of Transportation v. FedEx Corporation (Violations of Hazardous Materials Regulations),FedEx Corporation,Date of Fine,3/1/2003,Health,Fine,Administrative,Transportation,None,9000
Baltimore County Gasoline Leak - Civil Litigation (2011),Exxon Mobil,Date of Verdict,6/29/2011,Environment,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Radiological Violations at Los Alamos Lab (1998),University of California,Date of Fine,9/21/1998,Labor,Fine,Administrative,Energy,Energy,112500
Connecticut Security Breach Lawsuit,"Health Net, Inc.",Date of Filing,1/13/2010,Consumer Affairs,Settlement,Civil,State/Local,None,650000
Tri-County Public Airport CERCLA Costs,"Hawker Beechcraft, Inc.",Date of Settlement Announcement,11/28/2017,Environment,Settlement,Civil,Justice,None,738337
Gruzalski et al. v. FedEx (Whistleblower Retaliation),FedEx Corporation,Date of Complaint,7/31/2015,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,8008817
"Hazardous Waste Violations (Santa Ana, CA)",ITT Industries,Date of Settlement,1/27/2006,Environment,Settlement,Administrative,EPA,None,32150
State of California ex rel. Schroen v. BP America Production Co. (Natural Gas Charging False Claims),BP P.L.C.,Date of State Complaint,1/7/2015,Government Contract Fraud,Settlement,Civil,State/Local,State/Local,102000000
U.S. ex rel. Garafolo v. FedEx (Package Delivery False Claims),FedEx Corporation,Date of Settlement Agreement,4/29/2011,Government Contract Fraud,Settlement,Civil,Justice,Multiple Agencies,8000000
Air and Water Pollution Violations at Delaware City Refinery,Valero Energy Corp.,Date of Penalty,5/28/2010,Environment,Fine,Administrative,State/Local,None,1945000
Leak Detection and Repair Violations and Inadequate Notification of Emission Events,Exxon Mobil,Date of Notice,8/29/2003,Environment,Administrative Agreement,Administrative,State/Local,None,80444
"Breach of Fiduciary Duty, Fraud, Unfair or Deceptive Acts or Practices and Conspiracy","Health Net, Inc.",Date of Last Damages Award,11/4/2005,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,Non-Governmental,108700000
Oak Grove Power Plant Illegal Termination,Fluor Corporation,Date of Settlement Announcement,1/27/2011,Labor,Settlement,Administrative,Labor - OSHA,None,Undisclosed/Unknown
Banc of America Breach of Contract,Evergreen International Airlines,Date of Settlement,3/31/2006,Poor Contract Performance,Settlement,Civil,Non-Governmental,Non-Governmental,1100000
"Environmental Violations at Torrance, Calif. Refinery",Exxon Mobil,Date of SEC 10-Q,5/8/2007,Environment,Fine,Administrative,State/Local,None,400000
Pascagoula Shipyard False Billing - Criminal Prosecutions,Huntington Ingalls Industries,Date of Criminal Information,6/10/2015,Government Contract Fraud,Pleaded Guilty,Criminal,Multiple Agencies,Multiple Agencies,37700
Alleged Medicare Fraud (1996 - 2000),UnitedHealth Group,Date of Settlement Announcement,12/13/2004,Government Contract Fraud,Settlement,Civil,Health and Human Services,Health and Human Services,3500000
Bid-Rigging on NAVO MSRC Contract,Lockheed Martin,Date of Settlement Announcement,1/24/2011,Government Contract Fraud,Settlement,Civil,Multiple Agencies,GSA,2000000
Safety Violation at Derby Facility,Rolls-Royce PLC,Date of Judgment,8/16/2013,Labor,Found Guilty,Criminal,International,None,122557
Violations of Water Quality Standards (Virginia),Honeywell International Inc.,Date of Consent Decree,3/24/2004,Environment,Settlement,Civil,State/Local,None,30000
FDA Review of Altabax Promotional Material,GlaxoSmithKline,Date of FDA Warning Letter,4/19/2010,Health,Investigative Finding,N/A,Health and Human Services,None,0
Zylon Body Armor Vests (Product Liability),"Armor Holdings, Inc.",Date of Final Approval of Settlement,11/5/2004,Consumer Affairs,Settlement,Civil,Non-Governmental,None,19400000
